来源,来自IP,1. 您是否了解云南的“三农”政策？ ,2. 您认为抖音短视频对云南农产品的宣传效果如何？ ,3. 您是否曾通过抖音平台购买过云南的农产品？ ,4. 您认为抖音直播带货对云南乡村经济的促进作用如何？ ,5. 您认为云南的农产品在抖音上的展示方式是否吸引消费者？ ,6. 您最关注云南农产品的哪些方面？ ,7. 您认为云南的“三农”政策对电商发展的支持力度如何？ ,8. 您是否参与过云南乡村的电商培训活动？ ,9. 您认为云南乡村电商发展的主要障碍是什么？ ,10. 您对云南三农的抖音短视频内容的质量有何看法？ ,11. 您认为云南农民在使用抖音进行产品推广时遇到的最大困难是什么？ ,12. 您希望云南的“三农”政策在电商领域有哪些改进？ ,13. 您认为未来云南的电商发展趋势如何？ ,14. 您对云南农产品在抖音上的推广方式有何建议？ ,15. 您还有其他想要补充的意见或建议吗？ ,"1. 您是否了解云南的""三农""政策？ "
,,1,1,1,2,2,1,1.0,1,1,2,1,,,,,1
,,1,1,2,2,1,1,1.0,2,3,1,3,,,,,2
,,2,2,2,2,2,1,1.0,2,1,2,1,,,,,2
,,1,2,1,2,1,1,2.0,1,1,1,1,,,,,2
,,2,2,1,1,2,1,2.0,2,2,2,2,,,,,2
,,2,1,2,2,2,1,1.0,2,1,2,2,,,,,2
,,2,2,1,2,1,2,2.0,2,3,2,3,,,,,1
,,1,2,1,2,1,1,1.0,2,1,2,1,,,,,2
,,1,2,2,2,2,1,2.0,2,3,2,1,,,,,1
,,2,2,2,2,2,1,2.0,2,1,2,1,,,,,2
,,1,2,2,2,2,2,3.0,1,2,2,2,,,,,1
,,2,1,2,2,1,2,1.0,2,3,1,3,,,,,1
,,2,2,2,2,1,1,2.0,2,1,2,1,,,,,1
,,2,1,1,1,2,1,1.0,2,1,3,1,,,,,2
,,2,2,2,2,2,1,1.0,2,2,2,1,,,,,2
,,1,2,2,2,2,1,1.0,2,3,2,1,,,,,2
,,2,2,2,2,2,2,2.0,2,1,2,3,,,,,1
,,2,3,2,2,2,1,2.0,2,2,2,3,,,,,1
,,1,2,2,2,2,1,1.0,2,3,2,2,,,,,2
,,1,1,1,1,1,1,1.0,1,1,1,1,,,,,1
,,1,2,1,2,1,1,1.0,2,2,2,1,,,,,1
,,2,2,2,2,2,1,2.0,2,3,2,1,,,,,2
,,1,1,2,2,1,1,2.0,2,1,1,3,,,,,2
,,2,2,2,2,2,1,2.0,2,2,2,1,,,,,2
,,2,2,2,2,1,1,1.0,2,1,2,1,,,,,2
,,2,1,1,1,1,1,1.0,1,1,1,1,,,,,2
,,2,1,1,1,1,1,1.0,1,1,1,3,,,,,1
,,2,1,1,1,1,1,1.0,2,4,2,3,,,,,2
,,2,1,1,2,1,1,2.0,2,3,2,1,,,,,1
,,2,2,2,2,2,2,2.0,2,3,2,3,,,,,2
,,1,1,1,1,1,1,1.0,1,1,1,1,,,,,1
,,2,2,2,2,2,2,2.0,2,1,2,2,,,,,1
,,2,1,2,2,2,1,2.0,2,1,1,1,,,,,1
,,1,1,2,1,1,2,1.0,2,1,1,1,,,,,2
,,2,2,2,2,2,2,2.0,2,3,2,3,,,,,2
,,2,2,2,2,2,1,1.0,2,1,2,1,,,,,2
,,1,1,1,1,2,1,1.0,2,1,1,1,,,,,1
,,1,1,1,1,1,2,1.0,2,1,2,1,,,,,1
,,1,1,1,2,2,3,2.0,2,1,2,3,,,,,2
,,2,2,1,2,2,2,2.0,2,3,2,3,,,,,1
,,2,2,2,2,2,1,2.0,2,3,2,3,,,,,1
,,1,1,1,2,1,1,1.0,1,1,2,1,,,,,2
,,1,2,2,2,2,1,2.0,2,1,2,1,,,,,2
,,1,1,1,1,2,2,1.0,2,1,2,1,,,,,2
,,2,3,2,3,3,1,3.0,2,1,3,1,,,,,2
,,1,1,2,2,2,1,1.0,2,1,2,3,,,,,2
,,2,2,2,2,3,1,2.0,2,1,3,1,,,,,1
,,1,1,1,1,1,1,1.0,2,2,2,1,,,,,2
,,2,2,1,2,2,1,2.0,2,1,2,1,,,,,1
